resource_id,resource_name,resource_url,description,format,type,runtime,subject_areas,authoring_organization,intended_audiences,content_soup
L000888112,bird eye view of health data standards,https://www.nlm.nih.gov/bsd/disted/video/clin_info/standards.html,as part of the series clinical information librarians and the nlm from health data standards to better health rex robison from the s national library of medicine provides primer on health data standards highlighting the role of the national library of medicine in terminology standards,MP4 Video,webinar,26.0,terminology clinical medicine data management,training team user engagement program,everyone educator developer,bird eye view of health data standards as part of the series clinical information librarians and the nlm from health data standards to better health rex robison from the s national library of medicine provides primer on health data standards highlighting the role of the national library of medicine in terminology standards terminology clinical medicine data management webinar everyone educator developer training team user engagement program
L005481112,brief guide to finding and comparing ortholog data at ncbi,https://www.youtube.com/watch?v=9Meh1CV852g,this is detailed tutorial showing how to start with human protein find set of cetacean orthologs align the protein sequences and explore amino acids that are common within cetaceans but different from those of the human sequence,MP4 Video,youtube video,5.0,genetics and molecular biology,training team ncbi,everyone educator,brief guide to finding and comparing ortholog data at ncbi this is detailed tutorial showing how to start with human protein find set of cetacean orthologs align the protein sequences and explore amino acids that are common within cetaceans but different from those of the human sequence genetics and molecular biology youtube video everyone educator training team ncbi
L004441112,brief introduction to rxnav,https://www.nlm.nih.gov/oet/ed/navigator/rxnav/launch.html,rxnav is web application powered by the rxnorm api rxnav helps you search browse and navigate through several drug information sources including rxnorm rxterms and med rt rxnav can help you find drug names and codes from rxnorm constituent vocabularies this nlm navigator will familiarize you with the basic layout and features of rxnav and will show you how to search for browse and explore rxnorm data,HTML,tutorial,15.0,drugs and chemicals rxnorm data management,training team user engagement program,everyone developer,brief introduction to rxnav rxnav is web application powered by the rxnorm api rxnav helps you search browse and navigate through several drug information sources including rxnorm rxterms and med rt rxnav can help you find drug names and codes from rxnorm constituent vocabularies this nlm navigator will familiarize you with the basic layout and features of rxnav and will show you how to search for browse and explore rxnorm data drugs and chemicals rxnorm data management tutorial everyone developer training team user engagement program
L003367112,voyage to health lesson plans,https://www.nlm.nih.gov/exhibition/avoyagetohealth/education/index.html,voyage to health presents these educational resources for 12 educators and college university faculty the resources present selected themes or visual items from the online exhibition as part of instructional materials or self directed learning students examine the rich content and primary sources in the exhibition in developing content knowledge and higher order thinking skills,HTML,page,Unknown,12 education history of medicine,exhibitions team,everyone educator,voyage to health lesson plans voyage to health presents these educational resources for 12 educators and college university faculty the resources present selected themes or visual items from the online exhibition as part of instructional materials or self directed learning students examine the rich content and primary sources in the exhibition in developing content knowledge and higher order thinking skills 12 education history of medicine page everyone educator exhibitions team
L003704112,aids posters and stories of public health people history of pandemic responding to aids history politics and visual culture lesson plan,https://www.nlm.nih.gov/exhibition/aids-posters/resource-detail1.html,this class resource presents six separate one hour lessons each of which introduce its main topics along with suggested readings and discussion questions that help students explore thematic and visual material in the aids posters and stories of public health people history of pandemic exhibition the class resource allows students to explore the history of aids in the united states visual culture and the role of imagery in the response to aids and scientists and activists responses to aids responding to aids includes digitally available visual and textual items related to hiv aids selected from nlm digital collections profiles in science pubmed central and other sources for students to view read and expand their understanding about diverse and complex factors in responding to health crisis,HTML,page,Unknown,history of medicine hiv aids,exhibitions team,everyone educator,aids posters and stories of public health people history of pandemic responding to aids history politics and visual culture lesson plan this class resource presents six separate one hour lessons each of which introduce its main topics along with suggested readings and discussion questions that help students explore thematic and visual material in the aids posters and stories of public health people history of pandemic exhibition the class resource allows students to explore the history of aids in the united states visual culture and the role of imagery in the response to aids and scientists and activists responses to aids responding to aids includes digitally available visual and textual items related to hiv aids selected from nlm digital collections profiles in science pubmed central and other sources for students to view read and expand their understanding about diverse and complex factors in responding to health crisis history of medicine hiv aids page everyone educator exhibitions team
L001902112,alfa colab presentation ashg2020,https://youtu.be/XM8HbSUNzfE,this video is an introduction to and tutorial for using alfa the allele frequency aggregator at the national center for biotechnology information ncbi,MP4 Video,youtube video,18.0,genetics and molecular biology bioinformatics data science,training team ncbi,everyone,alfa colab presentation ashg2020 this video is an introduction to and tutorial for using alfa the allele frequency aggregator at the national center for biotechnology information ncbi genetics and molecular biology bioinformatics data science youtube video everyone training team ncbi
L001524112,alfa allele frequency data for variant analysis and interpretation,https://www.youtube.com/watch?v=wii-V39YxGk,results from the allele frequency aggregator alfa project will help you interpret the biological impact of common and rare sequence variants alfa initial release includes analysis of genotype data from 100k unrestricted dbgap subjects and provides high quality allele frequency data now displayed on relevant dbsnp records eventually alfa will analyze more than 1m subjects in this webinar you will learn about the data in the recent alfa release see how to access the data from the web ftp and how to programmatically retrieve data by positions genes and other attributes using eutils and variation services api in python,MP4 Video,youtube video,Unknown,genetics and molecular biology,training team ncbi,everyone,alfa allele frequency data for variant analysis and interpretation results from the allele frequency aggregator alfa project will help you interpret the biological impact of common and rare sequence variants alfa initial release includes analysis of genotype data from 100k unrestricted dbgap subjects and provides high quality allele frequency data now displayed on relevant dbsnp records eventually alfa will analyze more than 1m subjects in this webinar you will learn about the data in the recent alfa release see how to access the data from the web ftp and how to programmatically retrieve data by positions genes and other attributes using eutils and variation services api in python genetics and molecular biology youtube video everyone training team ncbi
L001525112,accelerate genomics discovery with sra in the cloud,https://www.youtube.com/watch?v=PoseTXa8LU8,you will learn to best leverage the cloud to speed up research and discovery we ll introduce you to new and existing tools and data including bigquery sra toolkit and more you ll hear about real workflows in the cloud including an example of the work ncbi was able to accomplish in the cloud using sra data and case study from an sra cloud customer by the end of this webinar you will know where to look for new cloud products from ncbi access help information to get you started and will have expanded your knowledge on how to run your analyses efficiently in the cloud,MP4 Video,youtube video,Unknown,genetics and molecular biology,training team ncbi,everyone,accelerate genomics discovery with sra in the cloud you will learn to best leverage the cloud to speed up research and discovery we ll introduce you to new and existing tools and data including bigquery sra toolkit and more you ll hear about real workflows in the cloud including an example of the work ncbi was able to accomplish in the cloud using sra data and case study from an sra cloud customer by the end of this webinar you will know where to look for new cloud products from ncbi access help information to get you started and will have expanded your knowledge on how to run your analyses efficiently in the cloud genetics and molecular biology youtube video everyone training team ncbi
L003303112,access genome data using ncbi datasets in galaxy,https://www.youtube.com/watch?v=8TR3OrlgtC4,this is quick introduction to using ncbi datasets withing galaxy ncbi datasets lets you easily gather data from across ncbi databases you can download gene transcript protein and genome sequences annotation and metadata,MP4 Video,youtube video,4.0,genetics and molecular biology ncbi workshops,training team ncbi,everyone educator,access genome data using ncbi datasets in galaxy this is quick introduction to using ncbi datasets withing galaxy ncbi datasets lets you easily gather data from across ncbi databases you can download gene transcript protein and genome sequences annotation and metadata genetics and molecular biology ncbi workshops youtube video everyone educator training team ncbi
L00515080,accessgudid search and download,https://www.youtube.com/watch?v=iWPkoBanBfY,this video authored by the food and drug administration demonstrates how to search for medical device information on the accessgudid web site,MP4 Video,quick tour,4.0,snomedct terminology,terminology services,everyone,accessgudid search and download this video authored by the food and drug administration demonstrates how to search for medical device information on the accessgudid web site snomedct terminology quick tour everyone terminology services
L004401112,accessing ncbi biology resources using edirect for command line novices,https://www.nlm.nih.gov/ncbi/workshops/2023-07_intro-to-edirect/workshop-video.html,in this workshop we will begin with an introduction to working in command line environment and then show you how to use the edirect suite to access data programmatically from several ncbi databases,HTML,webinar source page,108.0,ncbi workshops,training team ncbi,everyone educator,accessing ncbi biology resources using edirect for command line novices in this workshop we will begin with an introduction to working in command line environment and then show you how to use the edirect suite to access data programmatically from several ncbi databases ncbi workshops webinar source page everyone educator training team ncbi
L002061112,add preprint citations in my bibliography,https://www.youtube.com/watch?v=VGTRQNNDbmM,demonstrates how to add preprint citations to my bibliography,MP4 Video,youtube video,3.0,my ncbi preprints,nihms team ncbi,everyone,add preprint citations in my bibliography demonstrates how to add preprint citations to my bibliography my ncbi preprints youtube video everyone nihms team ncbi
L003352112,against the odds making difference in global health lesson plans,https://www.nlm.nih.gov/exhibition/againsttheodds/online_activities/index.html,against the odds presents the following instructional resources for middle and high school students and educators use them to discover stories of people and places featured in the exhibition and explore how you too can get involved in improving health for all,HTML,page,Unknown,12 education history of medicine,exhibitions team,everyone educator,against the odds making difference in global health lesson plans against the odds presents the following instructional resources for middle and high school students and educators use them to discover stories of people and places featured in the exhibition and explore how you too can get involved in improving health for all 12 education history of medicine page everyone educator exhibitions team
L003981112,all of us researcher workbench webinar for academic libraries,https://www.nlm.nih.gov/oet/ed/aou/2023/love_data_week.html,the all of us research program is key component of the precision medicine initiative which aspires to leverage advances in genomics and health information technology to accelerate biomedical discoveries the webinar will cover the basics of the all of us research program and the all of us researcher workbench cloud based research platform that the all of us research program has created where individuals can apply for access to the data and once approved as authorized data users create project specific workspaces in which to access and analyze the data topics will include the data available how to expand access to your campus community and the available training resources search for your institution online to find out if your institution already has access and use the all of us research program dataset through the all of us researcher workbench if you do not have access at your institution this webinar will instruct how your institution can get free access to the workbench and provide resources to help you get access,HTML,webinar source page,43.0,population groups data science,network of the national library of medicine,everyone educator,all of us researcher workbench webinar for academic libraries the all of us research program is key component of the precision medicine initiative which aspires to leverage advances in genomics and health information technology to accelerate biomedical discoveries the webinar will cover the basics of the all of us research program and the all of us researcher workbench cloud based research platform that the all of us research program has created where individuals can apply for access to the data and once approved as authorized data users create project specific workspaces in which to access and analyze the data topics will include the data available how to expand access to your campus community and the available training resources search for your institution online to find out if your institution already has access and use the all of us research program dataset through the all of us researcher workbench if you do not have access at your institution this webinar will instruct how your institution can get free access to the workbench and provide resources to help you get access population groups data science webinar source page everyone educator network of the national library of medicine
L005625112,an introduction to clinicaltrials gov on demand requires free registration,https://www.nnlm.gov/training/class-catalog/introduction-clinicaltrialsgov-demand,clinicaltrials gov is the openly available federal registry and results database of publicly and privately funded clinical studies conducted in the united states and around the world clinicaltrials gov is vital resource for researchers healthcare providers patients and their families and health sciences librarians who wish to consult the entire body of evidence on any particular topic in this course you will learn the significance of clinicaltrials gov the policies and regulations that affect clinical trials registration and practice using the clinicaltrials gov database,HTML,on demand course,Unknown,clinicaltrials gov,training team user engagement program,everyone educator,an introduction to clinicaltrials gov on demand requires free registration clinicaltrials gov is the openly available federal registry and results database of publicly and privately funded clinical studies conducted in the united states and around the world clinicaltrials gov is vital resource for researchers healthcare providers patients and their families and health sciences librarians who wish to consult the entire body of evidence on any particular topic in this course you will learn the significance of clinicaltrials gov the policies and regulations that affect clinical trials registration and practice using the clinicaltrials gov database clinicaltrials gov on demand course everyone educator training team user engagement program
L000939112,an introduction to evidence based practice librarian guide 1 introduction to ebp and pico,https://youtu.be/UxVFfSrx1Sc,after completing this webinar participants should be able to explain the importance and steps of evidence based practice identify the role of the librarian in teaching practicing and supporting evidence based practice formulate clinical question based on the scope of the requestor problem pico and question type,MP4 Video,webinar,55.0,pubmed,network of the national library of medicine,everyone,an introduction to evidence based practice librarian guide 1 introduction to ebp and pico after completing this webinar participants should be able to explain the importance and steps of evidence based practice identify the role of the librarian in teaching practicing and supporting evidence based practice formulate clinical question based on the scope of the requestor problem pico and question type pubmed webinar everyone network of the national library of medicine
L000938112,an introduction to evidence based practice librarian guide 2 searching,https://youtu.be/anbTseIKrmw,after completing this class participants should be able to locate background and foreground information develop effective search strategies in order to find relevant evidence,MP4 Video,webinar,61.0,pubmed,network of the national library of medicine,everyone,an introduction to evidence based practice librarian guide 2 searching after completing this class participants should be able to locate background and foreground information develop effective search strategies in order to find relevant evidence pubmed webinar everyone network of the national library of medicine
L000937112,an introduction to evidence based practice librarian guide 3 appraisal and application,https://youtu.be/kC-QDYR9E1I,after completing this class participants should be able to describe study designs and the hierarchy of evidence choose appropriate study design based on question type apply descriptive and inferential statistics to understand research findings studies,MP4 Video,webinar,52.0,pubmed,network of the national library of medicine,everyone,an introduction to evidence based practice librarian guide 3 appraisal and application after completing this class participants should be able to describe study designs and the hierarchy of evidence choose appropriate study design based on question type apply descriptive and inferential statistics to understand research findings studies pubmed webinar everyone network of the national library of medicine
L003201112,an introduction to ncbi cloud computing for biologists,https://www.nlm.nih.gov/oet/ed/ncbi/2022_07_cloud.html,in this workshop you will get hands on experience with the aws cloud environment using combination of web based and linux command line tools his workshop is designed for experimental biologists without cloud computing experience,HTML,webinar source page,141.0,genetics and molecular biology other ncbi workshops,training team ncbi,everyone,an introduction to ncbi cloud computing for biologists in this workshop you will get hands on experience with the aws cloud environment using combination of web based and linux command line tools his workshop is designed for experimental biologists without cloud computing experience genetics and molecular biology other ncbi workshops webinar source page everyone training team ncbi
L002806112,an introduction to ncbi cloud computing for biologists,https://www.nlm.nih.gov/oet/ed/ncbi/2021_11_cloud.html,on november 16 2021 the ncbi education team provided workshop on ncbi cloud computing for biologists training materials from this event are available on this page as dna sequencing becomes commonplace tool in biological research the need for accessible scalable and secure computational environments to process this deluge of data is growing ncbi has partnered with leading cloud computing providers to provide tools and data to this growing industry this workshop is designed for experimental biologists without cloud computing experience while not required it is most useful for researchers who do sequence based research and who have some familiarity interacting with linux command line,HTML,webinar source page,180.0,genetics and molecular biology ncbi workshops,training team ncbi,everyone,an introduction to ncbi cloud computing for biologists on november 16 2021 the ncbi education team provided workshop on ncbi cloud computing for biologists training materials from this event are available on this page as dna sequencing becomes commonplace tool in biological research the need for accessible scalable and secure computational environments to process this deluge of data is growing ncbi has partnered with leading cloud computing providers to provide tools and data to this growing industry this workshop is designed for experimental biologists without cloud computing experience while not required it is most useful for researchers who do sequence based research and who have some familiarity interacting with linux command line genetics and molecular biology ncbi workshops webinar source page everyone training team ncbi
L002901112,an introduction to ncbi cloud computing for virologists,https://www.nlm.nih.gov/oet/ed/ncbi/2022_02_cloud.html,this workshop is designed for virologists without cloud computing experience,HTML,webinar source page,171.0,genetics and molecular biology other ncbi workshops,training team ncbi,everyone educator,an introduction to ncbi cloud computing for virologists this workshop is designed for virologists without cloud computing experience genetics and molecular biology other ncbi workshops webinar source page everyone educator training team ncbi
L004461112,an introduction to pathogen data at ncbi,https://www.nlm.nih.gov/ncbi/workshops/2023-07_intro-to-pathogen-data/workshop-details.html,over the years ncbi has collected vast amount of sequence information including from organisms considered pathogenic to others including certain viruses bacteria and fungi with all of the databases and tools available at ncbi it is sometimes daunting to know where to start looking for and find data of interest this workshop is for those interested in microbial or pathogen research and who are new to or would like more structured way to find relevant data on the ncbi website,HTML,webinar source page,115.0,genetics and molecular biology data science ncbi workshops,training team ncbi,everyone educator,an introduction to pathogen data at ncbi over the years ncbi has collected vast amount of sequence information including from organisms considered pathogenic to others including certain viruses bacteria and fungi with all of the databases and tools available at ncbi it is sometimes daunting to know where to start looking for and find data of interest this workshop is for those interested in microbial or pathogen research and who are new to or would like more structured way to find relevant data on the ncbi website genetics and molecular biology data science ncbi workshops webinar source page everyone educator training team ncbi
L003562112,an introduction to pubchem for life scientists,https://www.nlm.nih.gov/ncbi/workshops/2022-11_intro-to-pubchem/workshop-details.html,scientists and educators from many different fields need to find and understand chemical data to perform their work as such understanding pubchem the world largest collection of freely accessible chemical information is powerful skill for researchers educators clinicians and more in this workshop participants will have access to ncbi experts and be introduced to the functionality of the pubchem database,HTML,webinar source page,82.0,drugs and chemicals pubchem,training team ncbi,everyone educator,an introduction to pubchem for life scientists scientists and educators from many different fields need to find and understand chemical data to perform their work as such understanding pubchem the world largest collection of freely accessible chemical information is powerful skill for researchers educators clinicians and more in this workshop participants will have access to ncbi experts and be introduced to the functionality of the pubchem database drugs and chemicals pubchem webinar source page everyone educator training team ncbi
L004281112,an introduction to pubchem for life scientists,https://www.nlm.nih.gov/ncbi/workshops/2023-06_intro-to-pubchem/workshop-details.html,scientists and educators from many different fields need to find and understand chemical data to perform their work as such understanding pubchem the world largest collection of freely accessible chemical information is powerful skill for researchers educators clinicians and more in this workshop participants will have access to ncbi experts and be introduced to the functionality of the pubchem database,HTML,webinar source page,117.0,drugs and chemicals pubchem,training team ncbi,everyone educator,an introduction to pubchem for life scientists scientists and educators from many different fields need to find and understand chemical data to perform their work as such understanding pubchem the world largest collection of freely accessible chemical information is powerful skill for researchers educators clinicians and more in this workshop participants will have access to ncbi experts and be introduced to the functionality of the pubchem database drugs and chemicals pubchem webinar source page everyone educator training team ncbi
L002521112,an introduction to pubmed pubmed central and ncbi accounts for researchers,https://www.nlm.nih.gov/oet/ed/ncbi/2021_12_pubmed.html,on december 16 2021 the ncbi education team provided the workshop an introduction to pubmed pubmed central and ncbi accounts for researchers training materials from this event are available on this page pubmed has over 33 million citations in the areas of biomedicine and health and related scientific fields however the volume of citations in this database can make it difficult for new searchers to find relevant citations and links to full text articles to support research projects this workshop was designed to provide guided experience for novice searchers as well as provide some tips on how to use an ncbi account to more effectively use pubmed,HTML,webinar source page,64.0,my ncbi pubmed pubmed central ncbi workshops public access,training team ncbi,everyone,an introduction to pubmed pubmed central and ncbi accounts for researchers on december 16 2021 the ncbi education team provided the workshop an introduction to pubmed pubmed central and ncbi accounts for researchers training materials from this event are available on this page pubmed has over 33 million citations in the areas of biomedicine and health and related scientific fields however the volume of citations in this database can make it difficult for new searchers to find relevant citations and links to full text articles to support research projects this workshop was designed to provide guided experience for novice searchers as well as provide some tips on how to use an ncbi account to more effectively use pubmed my ncbi pubmed pubmed central ncbi workshops public access webinar source page everyone training team ncbi
L002804112,an ncbi guide to finding and analyzing metagenomic data,https://www.nlm.nih.gov/oet/ed/ncbi/2021_10_meta.html,this workshop is designed for researchers to gain hands on experience with accessing and analyzing metagenomic data using the various relevant resources available on the ncbi website additionally some exercises in this workshop will provide experience with jupyter notebook for bash and python based accessing and processing of this metagenomic data,HTML,webinar source page,97.0,genetics and molecular biology bioinformatics ncbi workshops,training team ncbi,everyone,an ncbi guide to finding and analyzing metagenomic data this workshop is designed for researchers to gain hands on experience with accessing and analyzing metagenomic data using the various relevant resources available on the ncbi website additionally some exercises in this workshop will provide experience with jupyter notebook for bash and python based accessing and processing of this metagenomic data genetics and molecular biology bioinformatics ncbi workshops webinar source page everyone training team ncbi
L001401112,an overview of nlm post toxnet resources,https://players.brightcove.net/5527299009001/default_default/index.html?videoId=6146633966001,this webinar describes where former users of toxnet can now go for information for example overviews of where the databases are now located are provided by toxnet has moved web page and an nlm toxnet update new locations for toxnet content technical bulletin article the rest of the webinar provides an overview and examples of the toxicology and chemical safety related information now available in pubchem key for former users of toxnet is that hazardous substances data bank hsdb content now exists as data fields in pubchem substance records,HTML,webinar source page,60.0,drugs and chemicals toxicology,training team user engagement program,everyone,an overview of nlm post toxnet resources this webinar describes where former users of toxnet can now go for information for example overviews of where the databases are now located are provided by toxnet has moved web page and an nlm toxnet update new locations for toxnet content technical bulletin article the rest of the webinar provides an overview and examples of the toxicology and chemical safety related information now available in pubchem key for former users of toxnet is that hazardous substances data bank hsdb content now exists as data fields in pubchem substance records drugs and chemicals toxicology webinar source page everyone training team user engagement program
L002808112,an update on ncbi blast and other sequence analysis tools,https://www.nlm.nih.gov/oet/ed/ncbi/2022_01_blast.html,on january 25 2022 the ncbi education team provided the workshop an update on ncbi blast and other sequence analysis tools training materials from this event are available on this page this virtual workshop highlights new displays and features and introduces best practices for use of ncbi blast services you will learn when and how to use important but often misunderstood aspects of the blast programs specialized services and databases you will explore other important sequence analysis services including primer blast an oligonucleotide primer designer and specificity checker and cobalt multiple protein sequence alignment tool finally you will see brief demonstrations of standalone blast and related tools including sra toolkit blast and magic blast,HTML,webinar source page,Unknown,genetics and molecular biology ncbi workshops,training team ncbi,everyone,an update on ncbi blast and other sequence analysis tools on january 25 2022 the ncbi education team provided the workshop an update on ncbi blast and other sequence analysis tools training materials from this event are available on this page this virtual workshop highlights new displays and features and introduces best practices for use of ncbi blast services you will learn when and how to use important but often misunderstood aspects of the blast programs specialized services and databases you will explore other important sequence analysis services including primer blast an oligonucleotide primer designer and specificity checker and cobalt multiple protein sequence alignment tool finally you will see brief demonstrations of standalone blast and related tools including sra toolkit blast and magic blast genetics and molecular biology ncbi workshops webinar source page everyone training team ncbi
L002383112,an update to sciencv the science experts network curriculum vitae,https://www.youtube.com/watch?v=eGyHX85DIcE,minor update incorporating changes made to the nih biosketch format for submissions beginning on or after may 25 2021,MP4 Video,youtube video,4.0,other sciencv,training team ncbi,everyone educator,an update to sciencv the science experts network curriculum vitae minor update incorporating changes made to the nih biosketch format for submissions beginning on or after may 25 2021 other sciencv youtube video everyone educator training team ncbi
L004061112,analyze evolutionary relationships between two genomes using ncbi comparative genome viewer cgv,https://www.youtube.com/watch?v=_TA86Tu1N0c,this is tutorial showing how to use cgv to view assembly assembly alignments including cross species alignments the comparative genome viewer cgv became available in 2022 and continues to be updated and expanded,MP4 Video,youtube video,6.0,genetics and molecular biology,training team ncbi,everyone educator,analyze evolutionary relationships between two genomes using ncbi comparative genome viewer cgv this is tutorial showing how to use cgv to view assembly assembly alignments including cross species alignments the comparative genome viewer cgv became available in 2022 and continues to be updated and expanded genetics and molecular biology youtube video everyone educator training team ncbi
L003681112,analyzing visualizing nextgen reads with magic blast,https://www.nlm.nih.gov/ncbi/workshops/2022-12_ngs-analysis-viz/workshop-details.html,this workshop is designed for biologists experience with command line who are interested in doing some preliminary analysis of their next generation sequence data in comparison to reference sequence with annotations,HTML,webinar source page,110.0,genetics and molecular biology ncbi workshops,training team ncbi,everyone educator,analyzing visualizing nextgen reads with magic blast this workshop is designed for biologists experience with command line who are interested in doing some preliminary analysis of their next generation sequence data in comparison to reference sequence with annotations genetics and molecular biology ncbi workshops webinar source page everyone educator training team ncbi
